I0,I1,I2,States
0.07414193,0.502641,0.8278933,False
0.07401606,0.513863,0.8438987,False
0.07294262,0.5212035,0.8601092,False
0.0725241,0.5125712,0.872381,False
0.07267544,0.5110643,0.8792781,False
0.07163098,0.5230939,0.8900375,False
0.07216781,0.4968935,0.9045753,False
0.07012867,0.4877853,0.9173826,False
0.0675898,0.4859937,0.9250675,False
0.06810499,0.4739728,0.9306867,False
0.06751379,0.4946854,0.944174,False
0.06392004,0.4854442,0.9538292,False
0.06273361,0.5430037,0.9599275,False
0.06530207,0.5811722,0.96073,False
0.06414229,0.3790365,0.9577712,False
0.06168919,0.4432147,0.956461,False
0.06107807,0.5422163,0.9568039,False
0.06148267,0.588745,0.9524541,False
0.06110286,0.5670916,0.9348026,False
0.06060489,0.5508847,0.9172086,False
0.0600128,0.5668585,0.9132897,False
0.05885914,0.5917763,0.9141167,False
0.05886178,0.5804051,0.9039627,False
0.05579045,0.5682394,0.8845684,False
0.05491088,0.5495133,0.8722452,False
0.05460901,0.5483994,0.8693408,False
0.05351971,0.5505841,0.8526246,False
0.04963075,0.5391997,0.8331462,False
0.03905196,0.5533,0.8222517,False
0.003794715,0.07058616,0.145348,False
0.009489039,0.1332417,0.0167653,False
0.02497742,0.2037594,0.02188252,True
0.02940693,0.1613909,0.01817989,True
0.04658083,0.09872652,0.00734585,True
0.06564602,0.1350653,0.008350935,True
0.09621633,0.2092844,0.0248452,True
0.1153864,0.2110267,0.03089838,True
0.1425562,0.1769637,0.0406451,True
0.1469903,0.1429484,0.04270857,True
0.1649648,0.08829887,0.04059194,True
0.1763181,0.08486201,0.04752076,True
0.1936896,0.1117266,0.06302714,True
0.1956927,0.1136235,0.06478014,True
0.1866121,0.09789974,0.06567674,True
0.1809965,0.1340904,0.07269951,True
0.1635122,0.1937452,0.09741054,True
0.1463929,0.1839981,0.09884571,True
0.1180075,0.1652114,0.08556326,True
0.1007113,0.165422,0.07923602,True
0.06657107,0.1674882,0.06821203,False
0.0600213,0.1052149,0.0543586,False
0.03315482,0.1653841,0.05628125,False
0.01947132,0.468319,0.1695317,False
0.01755302,0.6692454,0.3864214,False
0.02007636,0.6747464,0.4278003,False
0.006542147,0.9529426,0.2365835,False
0.007730869,0.675721,0.09848491,False
0.01608021,0.3281998,0.04668603,False
0.02395482,0.5022165,0.06632175,False
0.04713039,0.6515206,0.09724824,True
0.0648305,0.8221458,0.1110686,True
0.109294,0.9216599,0.1510893,True
0.1281305,0.8593459,0.1672183,True
0.1763373,0.8439648,0.1946311,True
0.2035652,0.862045,0.2043553,True
0.2550439,0.8515003,0.2069916,True
0.2643396,0.8526409,0.2083141,True
0.2662594,0.8790337,0.2038128,True
0.2588983,0.898259,0.1938334,True
0.235245,0.9369413,0.1828207,True
0.2125996,0.9341286,0.1768759,True
