46,164.9256
Motion, Set, MotionFinishedCount, Guess, Truth, Timer, 44, 196.8369
1,4, 30, Flames, Fireball, 827.8167
1,4, 31, Nothing, Fireball, 834.15
3,7, 12, Nothing, FlameBlock, 837.2834
1,5, 42, Fireball, Fireball, 840.6833
3,5, 9, Nothing, FlameBlock, 843.9501
0,7, 7, FlameBlock, Nothing, 847.1167
2,0, 17, Fireball, Flames, 850.2667
1,2, 34, Nothing, Fireball, 853.5001
0,7, 8, Flames, Nothing, 856.7501
0,0, 11, Flames, Nothing, 860.0167
1,6, 40, Nothing, Fireball, 863.3
3,5, 10, Nothing, FlameBlock, 866.4167
2,2, 11, Nothing, Flames, 869.5834
2,1, 12, Nothing, Flames, 872.8667
0,12, 11, Flames, Nothing, 876.0334
0,5, 8, Nothing, Nothing, 879.3167
3,0, 10, Nothing, FlameBlock, 882.4834
0,5, 9, Nothing, Nothing, 885.7001
0,13, 6, Flames, Nothing, 888.9667
3,0, 12, Nothing, FlameBlock, 892.15
1,3, 52, Nothing, Fireball, 898.4501
2,0, 18, Fireball, Flames, 901.55
0,13, 7, FlameBlock, Nothing, 907.8834
3,6, 18, Nothing, FlameBlock, 911.1667
0,0, 12, Fireball, Nothing, 914.3834
1,4, 35, Nothing, Fireball, 917.6834
2,16, 11, Flames, Flames, 920.8167
2,8, 6, Fireball, Flames, 927.3
3,2, 11, Nothing, FlameBlock, 930.4
2,13, 7, Nothing, Flames, 933.7167
3,7, 15, Fireball, FlameBlock, 936.8667
2,18, 6, Nothing, Flames, 940.0001
1,1, 56, Nothing, Fireball, 943.35
2,15, 10, Fireball, Flames, 946.5667
0,6, 15, Nothing, Nothing, 949.9334
1,6, 42, Fireball, Fireball, 953.1334
3,0, 13, Nothing, FlameBlock, 956.3167
1,3, 57, Fireball, Fireball, 962.7167
0,5, 10, Nothing, Nothing, 965.9834
3,10, 9, Fireball, FlameBlock, 969.1167
3,10, 10, Nothing, FlameBlock, 972.2501
3,5, 12, Nothing, FlameBlock, 975.6
0,5, 11, Nothing, Nothing, 978.9334
0,0, 13, Nothing, Nothing, 982.2001
3,8, 14, Nothing, FlameBlock, 985.5667
3,5, 13, Flames, FlameBlock, 988.7001
2,12, 10, FlameBlock, Flames, 991.9334
2,9, 15, Fireball, Flames, 998.2834
1,4, 39, FlameBlock, Fireball, 1001.517
1,2, 39, FlameBlock, Fireball, 1004.7
3,0, 14, FlameBlock, FlameBlock, 1008.067
1,0, 61, Nothing, Fireball, 1011.2
0,2, 16, FlameBlock, Nothing, 1014.517
1,3, 61, FlameBlock, Fireball, 1017.85
1,5, 45, Fireball, Fireball, 1021.1
0,12, 13, FlameBlock, Nothing, 1024.317
1,4, 41, FlameBlock, Fireball, 1027.417
2,15, 12, Fireball, Flames, 1030.583
0,1, 10, Fireball, Nothing, 1033.833
1,6, 46, FlameBlock, Fireball, 1037.15
2,18, 8, Nothing, Flames, 1040.45
2,2, 17, Fireball, Flames, 1043.633
0,6, 17, Fireball, Nothing, 1046.817
1,6, 48, Nothing, Fireball, 1049.917
2,10, 16, FlameBlock, Flames, 1053.25
0,6, 18, FlameBlock, Nothing, 1056.383
2,5, 10, Fireball, Flames, 1062.95
3,9, 16, FlameBlock, FlameBlock, 1069.467
2,12, 12, Fireball, Flames, 1072.65
3,10, 13, FlameBlock, FlameBlock, 1075.9
3,2, 14, Nothing, FlameBlock, 1079.317
0,8, 10, FlameBlock, Nothing, 1082.6
3,8, 18, FlameBlock, FlameBlock, 1085.717
0,6, 19, FlameBlock, Nothing, 1089
1,4, 43, FlameBlock, Fireball, 1095.783
0,4, 12, Fireball, Nothing, 1098.967
3,6, 20, Nothing, FlameBlock, 1102.283
2,8, 8, FlameBlock, Flames, 1105.617
0,6, 21, FlameBlock, Nothing, 1108.95
0,3, 10, FlameBlock, Nothing, 1115.45
3,10, 15, FlameBlock, FlameBlock, 1118.6
1,4, 45, FlameBlock, Fireball, 1121.8
1,4, 46, Fireball, Fireball, 1125.133
2,21, 11, FlameBlock, Flames, 1128.433
1,0, 63, FlameBlock, Fireball, 1131.767
2,18, 10, Nothing, Flames, 1135.017
1,5, 48, FlameBlock, Fireball, 1141.4
2,12, 13, Fireball, Flames, 1144.667
2,20, 14, FlameBlock, Flames, 1147.917
1,0, 65, FlameBlock, Fireball, 1151.367
1,6, 51, FlameBlock, Fireball, 1154.533
0,4, 13, Nothing, Nothing, 1157.833
3,2, 15, FlameBlock, FlameBlock, 1161.167
0,7, 11, FlameBlock, Nothing, 1164.267
2,3, 13, FlameBlock, Flames, 1167.55
3,3, 21, FlameBlock, FlameBlock, 1170.683
0,6, 23, Fireball, Nothing, 1173.85
3,7, 19, FlameBlock, FlameBlock, 1177.133
3,4, 18, Nothing, FlameBlock, 1183.767
3,5, 18, Flames, FlameBlock, 1186.917
1,4, 48, Nothing, Fireball, 1193.233
2,21, 13, Flames, Flames, 1196.417
1,0, 67, Fireball, Fireball, 1199.583
0,5, 13, Nothing, Nothing, 1202.883
2,5, 13, FlameBlock, Flames, 1206.017
2,0, 21, Nothing, Flames, 1209.3
3,7, 21, Nothing, FlameBlock, 1212.533
3,7, 22, Flames, FlameBlock, 1215.733
3,10, 17, Nothing, FlameBlock, 1219.067
2,0, 22, Flames, Flames, 1222.45
3,6, 21, Nothing, FlameBlock, 1225.783
1,2, 49, Nothing, Fireball, 1229.117
1,4, 49, Fireball, Fireball, 1232.45
0,2, 19, Nothing, Nothing, 1235.75
2,19, 7, Nothing, Flames, 1238.85
1,5, 52, Flames, Fireball, 1242.05
0,9, 7, Flames, Nothing, 1245.183
3,0, 20, Fireball, FlameBlock, 1248.4
0,7, 12, Flames, Nothing, 1251.567
0,12, 15, Fireball, Nothing, 1254.983
0,1, 13, Nothing, Nothing, 1258.217
2,21, 16, FlameBlock, Flames, 1267.667
0,7, 13, Nothing, Nothing, 1274.05
0,2, 20, Nothing, Nothing, 1277.183
0,8, 11, Fireball, Nothing, 1280.483
1,3, 69, Nothing, Fireball, 1287.05
1,1, 72, FlameBlock, Fireball, 1290.25
2,9, 20, Fireball, Flames, 1293.55
1,5, 56, Nothing, Fireball, 1296.8
1,3, 70, Nothing, Fireball, 1300.033
3,10, 18, FlameBlock, FlameBlock, 1306.517
2,8, 14, FlameBlock, Flames, 1312.983
1,2, 53, Nothing, Fireball, 1316.1
3,6, 23, Flames, FlameBlock, 1319.25
2,14, 12, Fireball, Flames, 1322.483
1,2, 54, Nothing, Fireball, 1325.683
2,20, 15, FlameBlock, Flames, 1331.917
1,3, 73, Nothing, Fireball, 1335.033
2,3, 16, Fireball, Flames, 1338.233
3,3, 23, Nothing, FlameBlock, 1341.55
3,3, 24, Nothing, FlameBlock, 1344.8
1,0, 73, Nothing, Fireball, 1348.217
0,0, 18, Nothing, Nothing, 1351.467
0,5, 14, Nothing, Nothing, 1354.583
1,6, 57, Nothing, Fireball, 1357.717
3,8, 23, Nothing, FlameBlock, 1360.85
3,5, 20, Flames, FlameBlock, 1370.467
0,8, 12, Fireball, Nothing, 1380
1,3, 74, Fireball, Fireball, 1383.183
3,2, 17, Fireball, FlameBlock, 1386.383
2,2, 20, Nothing, Flames, 1389.783
2,0, 25, Fireball, Flames, 1392.7
2,19, 10, Nothing, Flames, 1399.133
0,12, 17, Fireball, Nothing, 1402.417
2,3, 17, FlameBlock, Flames, 1405.5
0,2, 21, Fireball, Nothing, 1408.833
1,0, 75, FlameBlock, Fireball, 1411.983
3,7, 25, Nothing, FlameBlock, 1415.083
3,0, 23, Nothing, FlameBlock, 1421.383
2,13, 14, Fireball, Flames, 1424.867
3,6, 26, Flames, FlameBlock, 1427.933
0,4, 15, Nothing, Nothing, 1434.2
2,8, 18, Fireball, Flames, 1437.317
1,2, 59, Nothing, Fireball, 1440.433
0,3, 13, Nothing, Nothing, 1443.633
3,9, 21, Fireball, FlameBlock, 1446.817
0,11, 14, Flames, Nothing, 1449.95
0,4, 16, Nothing, Nothing, 1453.167
2,2, 22, FlameBlock, Flames, 1456.283
1,6, 61, FlameBlock, Fireball, 1462.683
2,16, 13, Fireball, Flames, 1465.917
3,8, 25, Fireball, FlameBlock, 1469.083
2,1, 17, Fireball, Flames, 1472.367
3,8, 26, Fireball, FlameBlock, 1478.783
2,5, 17, FlameBlock, Flames, 1482.033
0,3, 14, Fireball, Nothing, 1485.267
3,10, 22, Fireball, FlameBlock, 1488.4
3,10, 23, Nothing, FlameBlock, 1491.867
1,1, 81, Nothing, Fireball, 1497.983
0,13, 14, Nothing, Nothing, 1501.267
0,1, 16, Fireball, Nothing, 1504.483
1,1, 83, Nothing, Fireball, 1507.883
2,10, 22, FlameBlock, Flames, 1511.05
2,2, 23, FlameBlock, Flames, 1514.25
1,0, 80, Fireball, Fireball, 1517.417
3,3, 25, Nothing, FlameBlock, 1520.6
