Allspeed^1,Allspeed^2,Allspeed^3,Horspeed^1,Horspeed^2,Horspeed^3,VelForwardHand^1,VelForwardHand^2,VelForwardHand^3,VelForwardHead^1,VelForwardHead^2,VelForwardHead^3,HandHeadAngle^1,HandHeadAngle^2,HandHeadAngle^3,VertHandDist^1,VertHandDist^2,VertHandDist^3,HorHandDist^1,HorHandDist^2,HorHandDist^3,HandForwardHead^1,HandForwardHead^2,HandForwardHead^3,HandForward^1,HandForward^2,HandForward^3,States
1.061311,1.126382,1.195442,1.030239,1.061393,1.093489,117.613,13832.82,1626920,58.31105,3400.179,198268,136.2167,18554.99,2527501,0.3559341,0.1266891,0.04509298,0.6110229,0.373349,0.2281248,126.081,15896.42,2004236,25.27612,638.8823,16148.47,0
1.071948,1.149072,1.231745,1.039599,1.080766,1.123564,114.268,13057.17,1492016,58.58855,3432.618,201112.1,137.838,18999.33,2618830,0.3515968,0.1236203,0.04346452,0.6083596,0.3701014,0.2251547,126.0116,15878.91,2000927,24.23091,587.137,14226.86,0
1.093214,1.195116,1.306518,1.058996,1.121472,1.187634,110.7989,12276.4,1360211,59.70151,3564.27,212792.3,139.5035,19461.22,2714909,0.3468864,0.1203302,0.0417409,0.6056184,0.3667736,0.2221248,125.7581,15815.1,1988877,23.90228,571.3192,13655.83,0
1.076188,1.158181,1.24642,1.042122,1.086019,1.131765,107.6453,11587.51,1247341,61.8231,3822.096,236293.8,141.0818,19904.07,2808101,0.3426406,0.1174026,0.0402269,0.6026677,0.3632084,0.218894,125.5997,15775.29,1981371,23.27359,541.6598,12606.37,0
1.018221,1.036775,1.055666,0.9845909,0.9694192,0.9544813,104.1582,10848.94,1130006,63.71662,4059.807,258677.2,142.5774,20328.33,2898361,0.3382375,0.1144046,0.03869594,0.6000661,0.3600793,0.2160714,125.6732,15793.76,1984852,22.37334,500.5662,11199.34,0
0.9870209,0.9742101,0.9615657,0.9483852,0.8994344,0.8530103,99.68841,9937.778,990681.3,64.78684,4197.335,271932.1,144.0623,20753.94,2989861,0.3335278,0.1112408,0.0371019,0.5977406,0.3572938,0.213569,125.701,15800.73,1986168,22.03698,485.6286,10701.79,0
0.9845109,0.9692617,0.9542487,0.9468225,0.8964728,0.8488005,98.03094,9610.064,942083.6,65.46217,4285.296,280524.8,145.572,21191.22,3084849,0.3292425,0.1084006,0.03569008,0.5955348,0.3546617,0.2112134,125.8581,15840.27,1993627,22.1567,490.9194,10877.15,0
0.9466584,0.8961622,0.8483595,0.9141728,0.8357118,0.763985,96.41395,9295.649,896230.3,64.67763,4183.195,270559.2,146.975,21601.65,3174903,0.3253305,0.1058399,0.03443296,0.5944409,0.35336,0.2100516,125.9784,15870.55,1999346,22.05706,486.514,10731.07,0
0.9356718,0.8754817,0.8191636,0.9059901,0.820818,0.7436529,93.8688,8811.352,827110.9,68.30143,4665.085,318632,148.4547,22038.79,3271762,0.3214509,0.1033307,0.03321575,0.5909609,0.3492348,0.2063841,126.0358,15885.03,2002083,21.50702,462.5519,9948.114,0
0.9791216,0.958679,0.9386633,0.9462505,0.89539,0.8472632,89.80686,8065.272,724316.8,72.22231,5216.063,376716.1,149.9729,22491.87,3373170,0.3169429,0.1004528,0.03183781,0.5882611,0.3460511,0.2035684,126.1799,15921.36,2008956,21.00813,441.3416,9271.764,0
