I0,I1,I2,States,,IsTrue,IsFalse
3.416155,111.9789,54.15588,TRUE,,3.416155,
3.732889,112.4275,58.62599,TRUE,,3.732889,
3.694159,112.6712,59.83634,TRUE,,3.694159,
3.428236,114.6998,62.1513,TRUE,,3.428236,
3.228893,115.7301,63.17332,TRUE,,3.228893,
2.844071,118.7638,59.82542,TRUE,,2.844071,
2.589758,120.4851,57.58511,TRUE,,2.589758,
2.06121,120.8533,57.03841,FALSE,,,2.06121
1.792572,121.3214,59.81851,FALSE,,,1.792572
1.357318,121.5503,68.70934,FALSE,,,1.357318
1.160533,119.5304,72.3479,FALSE,,,1.160533
0.5210481,127.7237,95.33674,FALSE,,,0.5210481
0.3638248,148.989,116.3408,FALSE,,,0.3638248
0.314062,172.6175,116.4962,FALSE,,,0.314062
0.2922954,176.1097,115.9097,FALSE,,,0.2922954
0.1842778,163.7978,125.7926,FALSE,,,0.1842778
0.1199269,143.9375,146.2814,FALSE,,,0.1199269
0.8059248,102.7601,43.45172,FALSE,,,0.8059248
1.166173,111.1972,40.19437,FALSE,,,1.166173
1.376458,114.8375,39.06979,FALSE,,,1.376458
1.996813,121.856,39.0962,TRUE,,1.996813,
2.299706,126.7036,40.25391,TRUE,,2.299706,
2.745814,138.7408,43.37395,TRUE,,2.745814,
2.956768,141.0361,45.12139,TRUE,,2.956768,
3.339764,147.3947,46.27104,TRUE,,3.339764,
3.465317,151.0823,46.94181,TRUE,,3.465317,
2.108801,151.416,48.90384,TRUE,,2.108801,
3.029082,154.4465,52.83841,TRUE,,3.029082,
3.922144,152.222,55.00853,TRUE,,3.922144,
2.499498,147.8515,56.11156,TRUE,,2.499498,
1.812148,140.2912,60.31698,TRUE,,1.812148,
1.504085,143.571,64.65739,FALSE,,,1.504085
1.047447,155.7972,76.37235,FALSE,,,1.047447
0.7856814,155.1655,87.48557,FALSE,,,0.7856814
0.4645402,172.3134,117.8929,FALSE,,,0.4645402
0.4620771,175.8173,113.3212,FALSE,,,0.4620771
0.3739795,170.2208,127.2911,FALSE,,,0.3739795
0.2987991,178.002,145.6249,FALSE,,,0.2987991
0.3814278,80.32315,15.30652,FALSE,,,0.3814278
0.5408593,169.1541,15.25273,FALSE,,,0.5408593
0.881772,173.517,23.85389,FALSE,,,0.881772
1.091996,162.7681,24.34055,TRUE,,1.091996,
1.653991,139.9622,28.94925,TRUE,,1.653991,
1.92259,140.4848,31.98764,TRUE,,1.92259,
2.35143,140.8615,36.97157,TRUE,,2.35143,
2.569746,142.5526,39.57746,TRUE,,2.569746,
3.006808,143.9207,43.61693,TRUE,,3.006808,
3.162104,143.5272,45.64278,TRUE,,3.162104,
3.301914,140.2032,49.54211,TRUE,,3.301914,
3.2373,137.148,51.04868,TRUE,,3.2373,
2.862247,137.6725,51.90603,TRUE,,2.862247,
2.692846,140.4453,52.74229,TRUE,,2.692846,
2.24978,145.3325,52.27428,TRUE,,2.24978,
1.940714,148.9938,51.66841,FALSE,,,1.940714
1.606215,143.1772,56.36058,FALSE,,,1.606215
1.441658,139.6822,59.21723,FALSE,,,1.441658
0.875268,155.7079,58.50648,FALSE,,,0.875268
0.7022349,176.7355,63.43253,FALSE,,,0.7022349
0.6220081,158.3908,84.7515,FALSE,,,0.6220081
0.5908507,140.6318,92.63828,FALSE,,,0.5908507
0.4542641,128.9577,106.5285,FALSE,,,0.4542641
0.3101186,113.3597,120.051,FALSE,,,0.3101186
0.249316,75.64787,116.0531,FALSE,,,0.249316
0.5613399,124.4502,30.77038,FALSE,,,0.5613399
0.9817775,123.416,31.55281,TRUE,,0.9817775,
1.047966,119.116,32.26593,TRUE,,1.047966,
1.082808,115.7234,37.19166,TRUE,,1.082808,
2.012501,117.724,38.31998,TRUE,,2.012501,
3.144524,116.985,40.43509,TRUE,,3.144524,
2.85663,117.5079,43.02718,TRUE,,2.85663,
3.451406,118.6326,46.22097,TRUE,,3.451406,
3.55699,117.2934,48.38166,TRUE,,3.55699,
3.586004,117.8925,51.41225,TRUE,,3.586004,
3.581911,118.8585,51.44703,TRUE,,3.581911,
3.096031,120.2496,51.53109,TRUE,,3.096031,
2.783771,121.6611,51.9168,TRUE,,2.783771,
1.612463,123.177,52.39713,TRUE,,1.612463,
1.885414,126.2938,53.75274,FALSE,,,1.885414
1.725688,125.8119,55.19042,FALSE,,,1.725688
1.282243,121.1378,66.91621,FALSE,,,1.282243
1.033226,120.1194,75.78404,FALSE,,,1.033226
0.6911331,120.3721,85.56812,FALSE,,,0.6911331
0.6037301,132.4998,89.37344,FALSE,,,0.6037301
0.2551953,170.5567,110.1876,FALSE,,,0.2551953
0.1510796,167.7866,128.6772,FALSE,,,0.1510796
0.139029,161.3727,103.457,FALSE,,,0.139029
0.09060177,154.9873,79.7595,FALSE,,,0.09060177
0.06688318,154.6131,75.01891,FALSE,,,0.06688318
0.03335012,132.215,125.5717,FALSE,,,0.03335012
0.1139038,41.45821,69.48851,FALSE,,,0.1139038
0.1302955,30.98984,58.36059,FALSE,,,0.1302955
0.1824947,40.1087,78.91167,FALSE,,,0.1824947
0.6449965,106.4042,19.52804,FALSE,,,0.6449965
0.9220688,174.641,24.9027,TRUE,,0.9220688,
0.8834567,169.3195,29.52448,TRUE,,0.8834567,
1.711822,157.66,31.45282,TRUE,,1.711822,
3.064898,147.6975,36.27383,TRUE,,3.064898,
2.753057,142.5012,39.53115,TRUE,,2.753057,
3.254158,134.3882,43.56056,TRUE,,3.254158,
3.513787,131.1496,45.05303,TRUE,,3.513787,
2.400643,126.8379,46.94283,TRUE,,2.400643,
3.523771,126.3381,48.09402,TRUE,,3.523771,
4.262074,125.8189,48.6722,TRUE,,4.262074,
2.825815,124.8373,48.44715,TRUE,,2.825815,
2.511378,120.6808,49.9415,TRUE,,2.511378,
2.222458,119.7705,52.52737,TRUE,,2.222458,
1.929866,113.1496,57.46511,FALSE,,,1.929866
1.939373,108.7971,61.70091,FALSE,,,1.939373
1.223381,103.1863,72.4614,FALSE,,,1.223381
0.8387313,104.2258,76.43481,FALSE,,,0.8387313
0.4646907,114.6651,77.30038,FALSE,,,0.4646907
0.3252472,121.1416,81.14797,FALSE,,,0.3252472
0.26663,140.003,87.99377,FALSE,,,0.26663
0.2885155,144.9779,88.60778,FALSE,,,0.2885155
0.1808848,140.1429,74.51162,FALSE,,,0.1808848
0.1372119,179.6643,57.30033,FALSE,,,0.1372119
0.1897018,103.5585,70.16196,FALSE,,,0.1897018
0.186859,79.99909,70.13949,FALSE,,,0.186859
0.1447253,66.87801,77.98524,FALSE,,,0.1447253
0.5988368,128.8932,22.3354,FALSE,,,0.5988368
0.8360813,135.6573,29.38011,TRUE,,0.8360813,
1.408403,135.742,37.04711,TRUE,,1.408403,
1.604224,132.9015,38.61777,TRUE,,1.604224,
2.240565,129.3075,44.85716,TRUE,,2.240565,
2.660904,128.4824,47.63754,TRUE,,2.660904,
1.997175,127.1105,50.4248,TRUE,,1.997175,
3.079995,125.0248,52.42562,TRUE,,3.079995,
4.308088,122.2387,55.14219,TRUE,,4.308088,
3.399722,119.9351,57.34191,TRUE,,3.399722,
3.19272,119.5308,59.0025,TRUE,,3.19272,
2.887886,120.5144,59.10677,TRUE,,2.887886,
2.524559,121.2093,56.55336,TRUE,,2.524559,
2.337553,121.3223,55.50455,TRUE,,2.337553,
1.81488,119.5456,56.27803,FALSE,,,1.81488
1.731388,116.8364,58.56656,FALSE,,,1.731388
1.128454,110.4758,62.15151,FALSE,,,1.128454
0.5815679,105.5726,50.86741,FALSE,,,0.5815679
0.5948687,85.5688,43.97084,FALSE,,,0.5948687
0.6409275,93.49447,47.47682,FALSE,,,0.6409275
0.2717258,120.6247,66.13244,FALSE,,,0.2717258
0.1221104,179.026,96.07858,FALSE,,,0.1221104
0.2588476,108.4078,89.69106,FALSE,,,0.2588476
0.3163542,107.6986,93.15304,FALSE,,,0.3163542
0.2205308,109.5571,104.4738,FALSE,,,0.2205308
